,city,H3_L12,pid,lat,lng,year,month, road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
0,Singapore,8c6526acc0c3dff,-drCXg35IaBp7TJId57p5w,1.308743087314642,103.9254068396034,2021,8,0.000059,0.000296,0.058580,0.002189,0.003254,0.002663,0.001538,0.003432,0.455207,0.003136,0.254142,0.000118,0.000059,0.000473,0.000059,0.000000,0.000000,0.000000,0.000059
1,Singapore,8c6520d98656dff,-D3MqxgN4XqBhN7_1Icz5g,1.34063326202118,103.7827427337935,2021,2,0.000000,0.000059,0.088462,0.001479,0.000473,0.001598,0.001183,0.001893,0.384320,0.003669,0.302130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,Singapore,8c6520d9d3591ff,-FbMX8wGTvSC1rcHudfG0w,1.30826750904757,103.7709269544658,2021,3,0.001657,0.001124,0.081302,0.002071,0.004615,0.003195,0.001420,0.002426,0.429763,0.005325,0.252367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,Singapore,8c6520d934ccdff,-gjSfEX2QXuGzE_EeJ1gFw,1.353564904306391,103.8359495927652,2021,7,0.000000,0.000473,0.295148,0.001657,0.001243,0.003728,0.002071,0.010059,0.123373,0.001538,0.345207,0.000178,0.000059,0.000533,0.000000,0.000000,0.000000,0.000000,0.000000
4,Singapore,8c6520d94ad13ff,-e07R7XOnBscVzmJSC8fRA,1.306863688928519,103.8588244871829,2021,5,0.000000,0.000355,0.175444,0.001834,0.004083,0.004615,0.002012,0.002722,0.157574,0.002959,0.433077,0.000237,0.000118,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000
5,Singapore,8c6520cacb809ff,-EDWs639cjhTr1u_SGLDyA,1.31872680174421,103.6790738883497,2021,3,0.000000,0.000592,0.227811,0.003373,0.002130,0.003787,0.001302,0.002722,0.218284,0.005858,0.319172,0.000178,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000
6,Singapore,8c652636a6c0bff,-It2SQAWbegGUmFZ5iLvmw,1.416031880616743,103.8250122998523,2021,3,0.000000,0.000769,0.020059,0.000473,0.000533,0.001953,0.000828,0.001716,0.216746,0.009231,0.532899,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
7,Singapore,8c6520d92a727ff,-eOWWK-dxbaAKlUsIIM6_Q,1.342360520385481,103.8495477417802,2021,4,0.000473,0.000414,0.129704,0.002012,0.001834,0.001538,0.000888,0.002130,0.554970,0.002722,0.088343,0.000000,0.000059,0.000000,0.000059,0.000000,0.000000,0.000000,0.000059
8,Singapore,8c6520cb116d1ff,-Kcmu2qO4qkOOKBhWN9wNA,1.377572978981091,103.7380910380499,2021,3,0.000000,0.000473,0.273077,0.002781,0.001006,0.001183,0.002367,0.002604,0.356095,0.001243,0.144379,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,Singapore,8c6526361cc5dff,-H9ieGbq5QUIi_KksVGy9Q,1.373851161813213,103.8698959783835,2021,7,0.011361,0.000473,0.187870,0.001479,0.000651,0.001420,0.001243,0.001538,0.422840,0.001302,0.154970,0.000118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,Singapore,8c6520d961321ff,-ihqenxM9BZg8liswSqcXQ,1.331365060147156,103.876432243266,2021,6,0.000000,0.000355,0.156686,0.001302,0.001124,0.001834,0.001479,0.002189,0.140769,0.002485,0.473669,0.000355,0.000000,0.000118,0.002899,0.000000,0.000000,0.000000,0.000000
11,Singapore,8c6526ac90705ff,-JXQ1PyEOUu3yH9Q6wQgWg,1.315960501152172,103.8870217560459,2021,7,0.000000,0.000828,0.176923,0.002959,0.002781,0.003136,0.002367,0.003314,0.165030,0.002308,0.424615,0.000237,0.000059,0.000710,0.000000,0.000000,0.000000,0.000000,0.000000
12,Singapore,8c6520ca54b07ff,-g7GjV29DB4UFNTUJVQ87Q,1.325094414407538,103.7272205545242,2021,2,0.000118,0.000118,0.016568,0.001243,0.002130,0.001657,0.001124,0.002308,0.160000,0.013018,0.584556,0.000059,0.000178,0.000651,0.000118,0.001361,0.000059,0.000000,0.000000
13,Singapore,8c65263643499ff,cxXK9YsZ8sdWSAv0Ks3QHw,1.359195247609744,103.8908481878588,2021,3,0.000000,0.000414,0.141420,0.001834,0.001183,0.003254,0.002189,0.001420,0.178107,0.002308,0.452899,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
14,Singapore,8c6520c127b29ff,-KxENCNB-QYR_PcL4MTWnQ,1.317693117080881,103.6982279110631,2021,7,0.000000,0.000237,0.262130,0.002604,0.006627,0.005680,0.001775,0.006095,0.099349,0.002308,0.397751,0.000414,0.000000,0.000237,0.000000,0.000059,0.000000,0.000000,0.000000
15,Singapore,8c65263718683ff,-jzc_Xl6rRKwywMwTDh4dQ,1.413760025661802,103.898956857168,2021,3,0.000000,0.000237,0.195680,0.002426,0.001657,0.007278,0.001716,0.003077,0.079172,0.003314,0.489882,0.000414,0.000000,0.000178,0.000000,0.000000,0.000000,0.000000,0.000237
16,Singapore,8c6520d9345dbff,CZ-sNV-pESKdOsDWpl1xIg,1.351159586555712,103.8349768637766,2021,4,0.000000,0.000414,0.135740,0.002130,0.001183,0.001775,0.001183,0.000888,0.252189,0.002959,0.386450,0.000059,0.000000,0.000237,0.000059,0.000000,0.000000,0.000000,0.000000
17,Singapore,8c6520cad585dff,cwT6WqKkrSnV6k4a9d4abw,1.32701126169387,103.6666868606159,2021,7,0.000000,0.000237,0.247692,0.001243,0.000828,0.001538,0.001302,0.001302,0.215385,0.005858,0.308698,0.000237,0.000000,0.000651,0.000059,0.000000,0.000000,0.000178,0.000059
18,Singapore,8c6520c824a87ff,CW4RvMPWDlHGMBL6POVHGw,1.425202790456116,103.7128492003373,2021,2,0.000000,0.000178,0.012722,0.000237,0.005030,0.001065,0.000592,0.001302,0.301834,0.003077,0.459231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,Singapore,8c6520db02cadff,cvV9prDZ9nbKEo0thqdfTQ,1.275328992278325,103.8634753947422,2021,2,0.000059,0.001361,0.025680,0.001834,0.002189,0.003314,0.001538,0.004911,0.066154,0.004083,0.673195,0.000237,0.000118,0.000414,0.000000,0.000059,0.000000,0.000000,0.000118
20,Singapore,8c6526ac90f03ff,CZEIC96UncJsnuGFszk-5Q,1.319055416740091,103.8877098368952,2021,7,0.000000,0.000592,0.080710,0.002012,0.001183,0.004911,0.001538,0.002663,0.551834,0.002722,0.136568,0.000178,0.000118,0.000059,0.000000,0.000178,0.000000,0.000000,0.000000
21,Singapore,8c6526aca5349ff,CXUbD7gSdF-4b9TE8S4x2Q,1.349451726416823,103.9274509588074,2021,8,0.000118,0.000828,0.163077,0.002722,0.001006,0.003550,0.001420,0.006272,0.331657,0.001657,0.270947,0.000237,0.000118,0.000237,0.001420,0.000000,0.000000,0.000000,0.000000
22,Singapore,8c65263652129ff,-KoZqSFvrQUJCGlWCiNU6A,1.357897426477272,103.8715120985358,2021,7,0.000000,0.000355,0.109527,0.002189,0.001657,0.001775,0.001953,0.003550,0.513964,0.001716,0.148462,0.000059,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
23,Singapore,8c652636c0c87ff,cZlYICjy3vfKL6dHr780tw,1.369266690283837,103.8369246285587,2021,6,0.000000,0.000296,0.060533,0.001479,0.006923,0.002604,0.002012,0.002308,0.357278,0.003136,0.348166,0.000237,0.000000,0.000178,0.000059,0.000000,0.000000,0.000000,0.000059
